Objeto,Confianza,Coordenadas
truck,0.36,"(455, 172, 557, 238)"
car,0.32,"(81, 420, 175, 477)"
car,0.83,"(114, 319, 186, 356)"
car,0.8,"(244, 277, 319, 316)"
car,0.67,"(89, 167, 143, 197)"
car,0.43,"(550, 281, 623, 320)"
truck,0.37,"(455, 172, 557, 238)"
car,0.8,"(104, 316, 175, 355)"
car,0.77,"(237, 274, 310, 312)"
car,0.67,"(89, 166, 143, 197)"
car,0.43,"(551, 281, 623, 320)"
truck,0.37,"(455, 172, 556, 238)"
car,0.82,"(93, 313, 164, 352)"
car,0.81,"(229, 272, 302, 311)"
car,0.63,"(89, 167, 143, 197)"
car,0.47,"(550, 281, 623, 319)"
truck,0.38,"(455, 172, 556, 238)"
car,0.84,"(221, 271, 294, 309)"
car,0.78,"(81, 310, 156, 348)"
car,0.58,"(89, 167, 143, 197)"
car,0.48,"(550, 281, 623, 319)"
truck,0.38,"(454, 172, 556, 238)"
truck,0.32,"(454, 192, 546, 238)"
car,0.77,"(70, 308, 141, 345)"
car,0.76,"(214, 268, 289, 307)"
car,0.63,"(89, 167, 143, 197)"
car,0.43,"(550, 281, 623, 319)"
truck,0.36,"(454, 172, 557, 238)"
truck,0.32,"(454, 193, 545, 238)"
car,0.82,"(59, 304, 130, 342)"
car,0.75,"(206, 268, 279, 305)"
car,0.64,"(89, 167, 143, 197)"
truck,0.4,"(454, 171, 557, 238)"
car,0.4,"(550, 281, 623, 319)"
truck,0.34,"(454, 192, 545, 238)"
car,0.84,"(49, 303, 119, 340)"
car,0.83,"(198, 264, 272, 303)"
car,0.65,"(88, 168, 143, 197)"
car,0.39,"(550, 281, 623, 319)"
truck,0.39,"(453, 171, 556, 238)"
truck,0.33,"(453, 190, 547, 238)"
car,0.85,"(37, 300, 108, 337)"
car,0.77,"(192, 262, 263, 301)"
car,0.68,"(89, 168, 143, 196)"
truck,0.44,"(453, 171, 556, 238)"
car,0.41,"(551, 281, 623, 319)"
car,0.83,"(27, 297, 98, 334)"
car,0.78,"(183, 262, 256, 299)"
car,0.67,"(89, 168, 144, 196)"
truck,0.49,"(453, 171, 556, 238)"
car,0.4,"(550, 281, 623, 319)"
truck,0.3,"(337, 182, 399, 225)"
car,0.85,"(16, 295, 86, 332)"
car,0.81,"(175, 260, 248, 297)"
car,0.69,"(89, 167, 144, 196)"
car,0.47,"(549, 281, 623, 319)"
truck,0.36,"(453, 171, 556, 238)"
truck,0.32,"(338, 181, 399, 225)"
truck,0.31,"(453, 193, 549, 238)"
car,0.87,"(6, 292, 77, 329)"
car,0.83,"(167, 257, 241, 295)"
car,0.7,"(88, 168, 143, 196)"
car,0.48,"(549, 281, 623, 319)"
truck,0.42,"(452, 171, 556, 238)"
truck,0.33,"(337, 181, 399, 225)"
truck,0.3,"(452, 191, 552, 238)"
car,0.84,"(1, 289, 65, 326)"
car,0.79,"(160, 256, 234, 293)"
car,0.7,"(88, 167, 143, 196)"
car,0.47,"(549, 281, 623, 319)"
truck,0.43,"(452, 171, 556, 238)"
car,0.81,"(152, 253, 227, 292)"
car,0.69,"(88, 168, 143, 196)"
car,0.67,"(0, 287, 54, 322)"
car,0.43,"(549, 281, 623, 319)"
truck,0.42,"(452, 171, 556, 238)"
truck,0.33,"(337, 184, 398, 224)"
car,0.87,"(146, 253, 217, 290)"
car,0.74,"(88, 168, 143, 196)"
car,0.72,"(0, 284, 44, 320)"
car,0.48,"(548, 281, 623, 319)"
truck,0.45,"(452, 171, 557, 238)"
car,0.38,"(337, 187, 399, 224)"
truck,0.34,"(337, 184, 398, 225)"
car,0.79,"(138, 250, 209, 288)"
car,0.74,"(88, 168, 143, 196)"
car,0.59,"(0, 282, 34, 318)"
car,0.5,"(548, 281, 623, 319)"
truck,0.37,"(452, 170, 557, 238)"
car,0.37,"(337, 187, 399, 224)"
truck,0.35,"(337, 185, 398, 224)"
car,0.8,"(130, 248, 204, 286)"
car,0.67,"(88, 168, 143, 197)"
car,0.52,"(548, 281, 623, 319)"
car,0.45,"(0, 281, 23, 315)"
truck,0.43,"(452, 170, 558, 238)"
truck,0.34,"(337, 187, 399, 225)"
car,0.73,"(123, 247, 196, 285)"
car,0.71,"(87, 168, 143, 197)"
car,0.55,"(548, 281, 622, 319)"
truck,0.4,"(452, 170, 557, 238)"
car,0.74,"(116, 244, 190, 282)"
car,0.73,"(87, 168, 143, 197)"
car,0.58,"(549, 281, 621, 319)"
truck,0.32,"(453, 184, 555, 238)"
car,0.8,"(109, 243, 181, 280)"
car,0.73,"(87, 168, 143, 197)"
car,0.59,"(549, 281, 621, 319)"
truck,0.31,"(453, 172, 558, 238)"
car,0.83,"(102, 241, 172, 278)"
car,0.72,"(87, 168, 143, 197)"
car,0.59,"(549, 281, 621, 319)"
car,0.8,"(95, 240, 167, 276)"
car,0.71,"(86, 168, 143, 197)"
car,0.61,"(549, 281, 621, 319)"
truck,0.36,"(453, 171, 558, 238)"
car,0.78,"(89, 238, 160, 274)"
car,0.7,"(86, 168, 143, 197)"
car,0.62,"(549, 281, 621, 319)"
truck,0.36,"(453, 172, 558, 238)"
truck,0.31,"(338, 188, 398, 225)"
car,0.81,"(80, 236, 153, 273)"
car,0.69,"(85, 168, 143, 197)"
car,0.64,"(550, 281, 621, 319)"
truck,0.41,"(453, 172, 559, 238)"
car,0.78,"(73, 235, 145, 271)"
car,0.69,"(86, 169, 143, 197)"
car,0.63,"(549, 281, 621, 319)"
truck,0.37,"(453, 172, 559, 238)"
car,0.8,"(65, 233, 139, 270)"
car,0.66,"(86, 168, 143, 197)"
car,0.56,"(549, 281, 621, 319)"
truck,0.4,"(453, 172, 559, 238)"
car,0.87,"(59, 231, 130, 268)"
car,0.65,"(86, 168, 143, 197)"
car,0.62,"(550, 281, 621, 319)"
truck,0.42,"(453, 172, 558, 238)"
car,0.32,"(621, 298, 647, 315)"
car,0.86,"(52, 229, 123, 266)"
car,0.65,"(550, 281, 621, 319)"
car,0.65,"(86, 168, 143, 197)"
truck,0.43,"(453, 172, 557, 238)"
car,0.4,"(622, 299, 646, 315)"
truck,0.35,"(338, 189, 399, 225)"
car,0.81,"(46, 228, 118, 264)"
car,0.65,"(86, 168, 144, 198)"
car,0.62,"(550, 281, 621, 319)"
truck,0.39,"(454, 172, 556, 238)"
car,0.36,"(622, 299, 644, 315)"
truck,0.32,"(338, 188, 399, 225)"
car,0.86,"(39, 225, 111, 263)"
car,0.64,"(87, 167, 144, 198)"
car,0.62,"(549, 281, 621, 320)"
truck,0.32,"(454, 180, 552, 238)"
car,0.31,"(622, 300, 644, 315)"
car,0.77,"(32, 224, 104, 260)"
car,0.65,"(86, 168, 144, 198)"
car,0.65,"(550, 281, 622, 320)"
truck,0.38,"(454, 172, 558, 238)"
car,0.83,"(25, 222, 96, 259)"
car,0.64,"(86, 168, 145, 200)"
car,0.62,"(550, 281, 622, 320)"
truck,0.39,"(454, 173, 557, 238)"
car,0.86,"(20, 221, 89, 257)"
car,0.63,"(87, 168, 145, 199)"
car,0.61,"(550, 281, 622, 320)"
truck,0.44,"(454, 173, 559, 238)"
car,0.83,"(12, 220, 83, 255)"
car,0.62,"(87, 168, 145, 200)"
car,0.59,"(549, 281, 623, 320)"
truck,0.42,"(455, 173, 559, 238)"
car,0.82,"(4, 217, 76, 253)"
car,0.62,"(87, 168, 145, 200)"
car,0.55,"(549, 281, 623, 320)"
truck,0.42,"(455, 173, 559, 238)"
car,0.72,"(0, 215, 70, 253)"
car,0.63,"(87, 168, 146, 199)"
car,0.54,"(548, 281, 623, 320)"
truck,0.36,"(456, 173, 559, 238)"
car,0.73,"(0, 213, 63, 249)"
car,0.66,"(87, 168, 146, 199)"
car,0.53,"(549, 281, 623, 320)"
car,0.67,"(0, 212, 58, 248)"
car,0.65,"(87, 168, 146, 199)"
car,0.54,"(549, 282, 624, 320)"
car,0.72,"(0, 210, 49, 246)"
car,0.63,"(87, 168, 146, 199)"
car,0.58,"(549, 282, 623, 319)"
car,0.74,"(0, 209, 43, 244)"
car,0.67,"(87, 168, 146, 199)"
car,0.61,"(549, 282, 624, 319)"
car,0.69,"(88, 168, 146, 198)"
car,0.63,"(550, 281, 624, 319)"
car,0.6,"(0, 207, 37, 243)"
car,0.71,"(88, 168, 146, 198)"
car,0.63,"(551, 281, 624, 320)"
car,0.47,"(0, 207, 31, 242)"
truck,0.3,"(458, 195, 538, 240)"
car,0.68,"(88, 168, 146, 198)"
car,0.6,"(551, 282, 624, 320)"
car,0.43,"(0, 206, 24, 240)"
car,0.69,"(88, 168, 146, 198)"
car,0.61,"(551, 282, 625, 320)"
car,0.38,"(617, 451, 711, 478)"
car,0.73,"(88, 167, 147, 198)"
car,0.62,"(551, 282, 626, 320)"
car,0.36,"(606, 447, 700, 477)"
car,0.68,"(89, 167, 147, 197)"
car,0.65,"(552, 282, 626, 320)"
car,0.37,"(594, 444, 686, 478)"
car,0.69,"(90, 167, 147, 197)"
car,0.63,"(552, 282, 626, 320)"
car,0.49,"(582, 441, 676, 477)"
truck,0.39,"(459, 173, 562, 239)"
car,0.68,"(90, 167, 147, 197)"
car,0.62,"(553, 282, 627, 320)"
car,0.56,"(570, 439, 663, 476)"
truck,0.36,"(459, 173, 562, 239)"
car,0.63,"(90, 166, 148, 197)"
car,0.57,"(553, 283, 627, 320)"
truck,0.37,"(459, 173, 561, 239)"
car,0.34,"(564, 435, 652, 478)"
car,0.65,"(91, 167, 148, 198)"
car,0.58,"(554, 283, 627, 320)"
car,0.35,"(553, 432, 640, 476)"
car,0.67,"(91, 166, 148, 197)"
car,0.62,"(554, 283, 627, 320)"
car,0.45,"(537, 430, 625, 476)"
car,0.69,"(91, 167, 148, 197)"
car,0.62,"(554, 283, 627, 320)"
car,0.54,"(523, 426, 613, 475)"
truck,0.31,"(460, 173, 561, 239)"
car,0.7,"(91, 167, 148, 197)"
car,0.68,"(555, 283, 628, 320)"
car,0.58,"(511, 423, 602, 470)"
car,0.7,"(92, 167, 149, 197)"
car,0.63,"(554, 283, 628, 320)"
car,0.56,"(496, 418, 590, 468)"
truck,0.31,"(342, 190, 405, 226)"
truck,0.31,"(460, 174, 561, 238)"
car,0.68,"(91, 166, 149, 197)"
car,0.64,"(554, 283, 628, 321)"
car,0.54,"(486, 415, 579, 466)"
truck,0.32,"(342, 191, 405, 226)"
car,0.66,"(91, 166, 149, 197)"
car,0.64,"(554, 283, 628, 321)"
car,0.6,"(479, 413, 565, 462)"
truck,0.34,"(341, 191, 405, 226)"
car,0.32,"(340, 188, 405, 225)"
car,0.63,"(91, 166, 149, 197)"
car,0.62,"(554, 283, 628, 320)"
car,0.51,"(468, 411, 557, 459)"
car,0.34,"(341, 186, 405, 225)"
truck,0.31,"(341, 189, 405, 226)"
car,0.65,"(91, 166, 149, 197)"
car,0.65,"(554, 283, 628, 320)"
car,0.46,"(454, 409, 541, 455)"
truck,0.36,"(341, 186, 405, 226)"
car,0.69,"(90, 166, 149, 197)"
car,0.68,"(554, 283, 628, 320)"
car,0.66,"(444, 405, 529, 453)"
truck,0.35,"(341, 188, 405, 226)"
car,0.81,"(438, 401, 517, 449)"
car,0.77,"(91, 167, 149, 198)"
car,0.67,"(554, 283, 628, 320)"
car,0.39,"(708, 334, 763, 364)"
truck,0.34,"(343, 188, 405, 226)"
car,0.32,"(343, 187, 405, 225)"
car,0.77,"(91, 167, 149, 198)"
car,0.76,"(422, 398, 505, 446)"
car,0.68,"(553, 284, 628, 320)"
car,0.47,"(706, 334, 762, 363)"
truck,0.33,"(344, 187, 405, 226)"
car,0.77,"(92, 167, 149, 198)"
car,0.68,"(553, 283, 628, 320)"
car,0.65,"(406, 395, 494, 443)"
car,0.42,"(705, 334, 760, 363)"
truck,0.34,"(343, 188, 405, 226)"
car,0.77,"(92, 167, 149, 197)"
car,0.67,"(553, 283, 628, 321)"
car,0.47,"(395, 392, 485, 440)"
truck,0.4,"(344, 186, 406, 226)"
car,0.73,"(92, 167, 149, 197)"
car,0.7,"(553, 283, 628, 321)"
car,0.56,"(387, 389, 472, 437)"
truck,0.37,"(344, 188, 406, 226)"
car,0.31,"(701, 334, 759, 364)"
truck,0.3,"(490, 175, 561, 223)"
car,0.74,"(92, 167, 149, 197)"
car,0.7,"(553, 283, 627, 321)"
car,0.63,"(376, 386, 461, 434)"
truck,0.41,"(344, 188, 405, 226)"
car,0.39,"(700, 334, 758, 364)"
car,0.76,"(362, 383, 449, 430)"
car,0.74,"(92, 167, 150, 198)"
car,0.68,"(553, 283, 628, 321)"
truck,0.43,"(344, 191, 405, 226)"
car,0.74,"(92, 167, 149, 198)"
car,0.66,"(552, 283, 628, 321)"
car,0.49,"(351, 380, 437, 427)"
truck,0.37,"(341, 190, 405, 226)"
car,0.75,"(92, 167, 149, 198)"
car,0.65,"(552, 283, 628, 321)"
car,0.64,"(342, 378, 425, 424)"
truck,0.38,"(339, 190, 405, 227)"
car,0.3,"(337, 191, 402, 225)"
car,0.74,"(92, 167, 149, 198)"
car,0.65,"(553, 283, 627, 321)"
car,0.57,"(330, 374, 416, 421)"
car,0.4,"(697, 335, 753, 363)"
car,0.35,"(337, 192, 402, 225)"
truck,0.33,"(338, 191, 405, 227)"
car,0.74,"(92, 166, 149, 198)"
car,0.67,"(552, 283, 627, 321)"
car,0.6,"(318, 371, 404, 419)"
car,0.41,"(696, 334, 752, 363)"
truck,0.33,"(338, 190, 405, 226)"
car,0.75,"(92, 166, 149, 198)"
car,0.67,"(552, 283, 627, 321)"
car,0.42,"(695, 334, 751, 362)"
car,0.36,"(312, 368, 392, 414)"
truck,0.36,"(338, 190, 405, 226)"
car,0.34,"(339, 189, 405, 225)"
car,0.77,"(92, 166, 149, 198)"
car,0.67,"(552, 283, 628, 321)"
car,0.52,"(292, 364, 381, 412)"
car,0.41,"(695, 334, 749, 362)"
car,0.35,"(341, 188, 405, 225)"
truck,0.32,"(340, 188, 406, 226)"
car,0.78,"(92, 166, 149, 198)"
car,0.7,"(284, 362, 369, 408)"
car,0.68,"(552, 283, 628, 321)"
car,0.44,"(693, 335, 748, 362)"
truck,0.38,"(341, 190, 406, 226)"
car,0.3,"(341, 190, 405, 225)"
car,0.78,"(278, 358, 359, 405)"
car,0.77,"(92, 167, 150, 197)"
car,0.68,"(551, 283, 628, 321)"
truck,0.41,"(340, 191, 406, 226)"
car,0.37,"(341, 191, 405, 225)"
car,0.37,"(692, 335, 747, 362)"
car,0.78,"(91, 166, 150, 198)"
car,0.72,"(263, 357, 349, 402)"
car,0.65,"(551, 283, 628, 321)"
car,0.42,"(689, 334, 747, 362)"
truck,0.33,"(339, 191, 406, 226)"
truck,0.31,"(461, 175, 562, 238)"
car,0.8,"(91, 166, 150, 198)"
car,0.75,"(251, 354, 336, 399)"
car,0.65,"(552, 283, 629, 321)"
car,0.34,"(687, 334, 745, 362)"
car,0.34,"(340, 189, 405, 225)"
truck,0.34,"(339, 189, 406, 226)"
truck,0.31,"(461, 175, 562, 238)"
car,0.8,"(91, 166, 150, 198)"
car,0.74,"(242, 351, 325, 396)"
car,0.64,"(551, 283, 629, 321)"
truck,0.4,"(461, 175, 562, 238)"
truck,0.37,"(339, 187, 406, 226)"
car,0.32,"(340, 186, 405, 225)"
car,0.8,"(91, 166, 150, 198)"
car,0.76,"(235, 347, 315, 393)"
car,0.64,"(552, 282, 629, 321)"
truck,0.41,"(461, 175, 562, 238)"
car,0.75,"(91, 166, 150, 198)"
car,0.75,"(220, 345, 303, 390)"
car,0.65,"(552, 283, 629, 321)"
truck,0.38,"(461, 176, 561, 238)"
car,0.34,"(684, 334, 742, 362)"
car,0.77,"(91, 166, 150, 199)"
car,0.73,"(209, 343, 293, 387)"
car,0.64,"(553, 282, 629, 322)"
car,0.38,"(816, 421, 851, 457)"
car,0.34,"(346, 187, 405, 225)"
car,0.78,"(91, 166, 151, 199)"
car,0.78,"(202, 340, 283, 384)"
car,0.63,"(552, 282, 629, 322)"
truck,0.38,"(461, 176, 562, 239)"
car,0.34,"(345, 189, 405, 225)"
car,0.79,"(91, 166, 151, 199)"
car,0.78,"(189, 337, 271, 381)"
car,0.64,"(551, 283, 629, 322)"
truck,0.5,"(461, 175, 562, 239)"
car,0.39,"(348, 190, 405, 225)"
car,0.8,"(92, 166, 151, 199)"
car,0.73,"(179, 333, 261, 378)"
car,0.62,"(552, 282, 630, 322)"
truck,0.49,"(461, 175, 562, 239)"
car,0.43,"(342, 191, 405, 225)"
car,0.76,"(92, 166, 151, 199)"
car,0.62,"(552, 283, 630, 321)"
car,0.57,"(169, 331, 251, 376)"
truck,0.55,"(461, 175, 562, 239)"
car,0.54,"(0, 383, 36, 437)"
car,0.31,"(677, 333, 737, 362)"
car,0.76,"(92, 166, 150, 199)"
car,0.73,"(160, 327, 240, 372)"
car,0.71,"(0, 380, 50, 441)"
car,0.63,"(553, 283, 630, 321)"
truck,0.47,"(461, 175, 562, 239)"
car,0.33,"(348, 191, 406, 225)"
car,0.74,"(93, 166, 151, 199)"
car,0.65,"(553, 283, 630, 321)"
car,0.62,"(148, 325, 230, 370)"
car,0.53,"(348, 191, 406, 225)"
car,0.51,"(0, 381, 62, 446)"
truck,0.45,"(461, 175, 562, 238)"
car,0.75,"(0, 382, 77, 449)"
car,0.74,"(93, 166, 151, 199)"
car,0.73,"(141, 323, 220, 367)"
car,0.63,"(552, 283, 630, 322)"
car,0.5,"(344, 191, 407, 225)"
truck,0.5,"(461, 175, 562, 239)"
car,0.42,"(745, 403, 818, 444)"
car,0.76,"(94, 166, 151, 198)"
car,0.73,"(128, 321, 209, 363)"
car,0.68,"(0, 384, 92, 452)"
car,0.64,"(552, 283, 630, 322)"
car,0.51,"(345, 191, 407, 225)"
truck,0.45,"(461, 175, 562, 239)"
car,0.33,"(735, 401, 807, 442)"
car,0.77,"(118, 317, 199, 361)"
car,0.75,"(95, 166, 151, 198)"
car,0.64,"(551, 283, 631, 322)"
car,0.6,"(344, 191, 407, 225)"
car,0.52,"(9, 388, 105, 457)"
truck,0.46,"(461, 175, 562, 238)"
car,0.78,"(108, 315, 189, 358)"
car,0.76,"(95, 166, 151, 198)"
car,0.66,"(551, 283, 631, 322)"
car,0.66,"(27, 392, 118, 461)"
car,0.55,"(349, 191, 408, 225)"
car,0.54,"(0, 446, 26, 477)"
truck,0.38,"(461, 175, 562, 238)"
truck,0.37,"(348, 191, 407, 226)"
car,0.75,"(95, 166, 152, 198)"
car,0.68,"(98, 311, 180, 356)"
car,0.64,"(551, 283, 632, 322)"
car,0.47,"(350, 191, 408, 225)"
car,0.47,"(45, 396, 133, 464)"
truck,0.43,"(461, 176, 562, 238)"
truck,0.39,"(349, 191, 407, 226)"
car,0.71,"(95, 167, 152, 198)"
car,0.65,"(551, 283, 632, 322)"
car,0.65,"(88, 308, 171, 353)"
truck,0.4,"(461, 176, 563, 238)"
car,0.35,"(666, 332, 726, 360)"
car,0.34,"(349, 191, 408, 225)"
truck,0.32,"(348, 190, 408, 226)"
car,0.69,"(94, 167, 152, 198)"
car,0.63,"(552, 283, 632, 322)"
car,0.62,"(78, 305, 161, 350)"
car,0.33,"(665, 331, 725, 359)"
truck,0.32,"(461, 176, 563, 238)"
car,0.31,"(685, 389, 756, 427)"
car,0.69,"(68, 303, 148, 347)"
car,0.67,"(96, 167, 152, 197)"
car,0.63,"(552, 283, 632, 322)"
car,0.5,"(675, 386, 747, 425)"
car,0.78,"(58, 301, 139, 344)"
car,0.68,"(552, 283, 632, 322)"
car,0.67,"(96, 167, 152, 198)"
car,0.58,"(665, 383, 736, 423)"
truck,0.35,"(461, 176, 563, 238)"
car,0.76,"(50, 299, 129, 341)"
car,0.66,"(96, 167, 153, 198)"
car,0.66,"(553, 283, 632, 322)"
car,0.6,"(655, 382, 726, 420)"
car,0.51,"(622, 449, 701, 479)"
truck,0.36,"(461, 176, 563, 238)"
car,0.76,"(38, 296, 118, 339)"
car,0.68,"(552, 283, 632, 322)"
car,0.63,"(96, 167, 152, 198)"
car,0.62,"(646, 379, 717, 417)"
car,0.55,"(610, 445, 690, 478)"
truck,0.35,"(462, 176, 563, 239)"
car,0.76,"(30, 293, 107, 335)"
car,0.64,"(96, 167, 153, 198)"
car,0.63,"(553, 283, 632, 322)"
car,0.34,"(638, 377, 707, 415)"
car,0.34,"(597, 442, 672, 478)"
car,0.71,"(20, 290, 99, 333)"
car,0.64,"(95, 167, 153, 197)"
car,0.63,"(554, 283, 632, 321)"
car,0.31,"(585, 439, 659, 477)"
car,0.74,"(11, 288, 88, 331)"
car,0.68,"(554, 283, 632, 321)"
car,0.61,"(96, 167, 153, 198)"
car,0.52,"(617, 371, 683, 410)"
car,0.51,"(569, 434, 645, 475)"
car,0.67,"(555, 283, 632, 321)"
car,0.65,"(97, 168, 154, 197)"
car,0.61,"(556, 431, 632, 471)"
car,0.52,"(4, 284, 79, 328)"
car,0.5,"(610, 369, 676, 407)"
truck,0.3,"(347, 184, 407, 227)"
car,0.84,"(543, 428, 618, 468)"
car,0.7,"(556, 283, 632, 321)"
car,0.69,"(0, 280, 69, 324)"
car,0.67,"(597, 367, 665, 405)"
car,0.66,"(97, 168, 154, 196)"
truck,0.34,"(348, 188, 407, 227)"
car,0.79,"(529, 424, 604, 465)"
car,0.69,"(555, 283, 632, 321)"
car,0.62,"(0, 280, 59, 321)"
car,0.62,"(96, 168, 153, 197)"
car,0.61,"(588, 364, 657, 403)"
truck,0.3,"(347, 182, 407, 226)"
car,0.87,"(516, 421, 591, 461)"
car,0.72,"(555, 283, 632, 321)"
car,0.71,"(580, 362, 647, 401)"
car,0.65,"(0, 277, 49, 319)"
car,0.62,"(96, 167, 153, 198)"
truck,0.38,"(346, 178, 407, 227)"
car,0.89,"(504, 416, 578, 458)"
car,0.76,"(569, 359, 637, 398)"
car,0.71,"(555, 283, 632, 321)"
car,0.63,"(96, 167, 153, 199)"
car,0.56,"(0, 278, 39, 317)"
truck,0.37,"(347, 177, 407, 227)"
car,0.71,"(490, 413, 564, 454)"
car,0.71,"(555, 283, 632, 321)"
car,0.69,"(561, 357, 628, 395)"
car,0.6,"(96, 167, 153, 199)"
truck,0.38,"(349, 180, 407, 227)"
car,0.33,"(349, 183, 407, 226)"
car,0.74,"(478, 410, 551, 450)"
car,0.71,"(556, 283, 632, 321)"
car,0.62,"(96, 167, 153, 199)"
car,0.5,"(550, 355, 618, 393)"
truck,0.37,"(350, 178, 407, 226)"
car,0.78,"(464, 406, 537, 447)"
car,0.72,"(555, 283, 632, 321)"
car,0.63,"(95, 167, 152, 200)"
truck,0.4,"(347, 174, 408, 226)"
car,0.86,"(451, 402, 525, 444)"
car,0.76,"(554, 283, 632, 321)"
car,0.66,"(95, 167, 152, 199)"
car,0.66,"(531, 350, 599, 389)"
truck,0.4,"(347, 172, 408, 226)"
car,0.81,"(437, 399, 510, 439)"
car,0.76,"(553, 283, 632, 321)"
car,0.67,"(95, 167, 152, 199)"
car,0.64,"(522, 347, 590, 386)"
truck,0.44,"(345, 172, 408, 226)"
car,0.82,"(426, 394, 498, 436)"
car,0.75,"(552, 284, 632, 321)"
car,0.68,"(95, 167, 152, 198)"
car,0.58,"(514, 346, 579, 382)"
truck,0.45,"(345, 170, 408, 226)"
traffic light,0.31,"(815, 421, 851, 465)"
car,0.71,"(553, 284, 632, 321)"
car,0.63,"(95, 167, 152, 198)"
car,0.52,"(413, 392, 485, 432)"
truck,0.39,"(344, 171, 407, 226)"
car,0.78,"(399, 389, 472, 428)"
car,0.73,"(552, 283, 632, 321)"
car,0.6,"(95, 168, 153, 198)"
car,0.54,"(493, 340, 562, 378)"
car,0.39,"(795, 415, 851, 461)"
truck,0.34,"(344, 170, 407, 226)"
car,0.8,"(388, 385, 460, 425)"
car,0.71,"(484, 337, 552, 376)"
car,0.7,"(553, 283, 631, 321)"
car,0.57,"(95, 168, 153, 198)"
car,0.53,"(785, 414, 851, 460)"
truck,0.35,"(345, 174, 407, 226)"
car,0.83,"(376, 381, 447, 421)"
car,0.73,"(476, 335, 543, 373)"
car,0.72,"(552, 283, 631, 321)"
car,0.59,"(95, 168, 152, 198)"
truck,0.45,"(343, 170, 407, 226)"
car,0.36,"(775, 409, 851, 460)"
car,0.8,"(363, 379, 435, 418)"
car,0.73,"(468, 333, 535, 372)"
car,0.69,"(552, 283, 631, 321)"
car,0.59,"(96, 169, 152, 196)"
truck,0.49,"(343, 170, 408, 226)"
car,0.41,"(765, 406, 851, 458)"
car,0.75,"(351, 375, 421, 415)"
car,0.67,"(457, 331, 526, 370)"
car,0.67,"(552, 283, 632, 321)"
car,0.6,"(95, 168, 153, 198)"
car,0.47,"(756, 404, 851, 458)"
truck,0.38,"(343, 169, 408, 226)"
car,0.69,"(339, 372, 410, 411)"
car,0.66,"(552, 283, 632, 321)"
car,0.57,"(448, 327, 516, 366)"
car,0.53,"(96, 168, 153, 196)"
car,0.51,"(746, 402, 849, 454)"
truck,0.33,"(462, 176, 566, 238)"
truck,0.31,"(347, 179, 408, 226)"
car,0.76,"(327, 368, 399, 407)"
car,0.59,"(553, 283, 632, 321)"
car,0.56,"(96, 169, 153, 195)"
car,0.54,"(737, 400, 838, 453)"
car,0.36,"(439, 326, 506, 364)"
truck,0.33,"(462, 177, 566, 238)"
car,0.78,"(314, 364, 386, 404)"
car,0.61,"(728, 397, 828, 449)"
car,0.6,"(96, 168, 153, 197)"
car,0.59,"(554, 283, 632, 321)"
car,0.57,"(431, 324, 497, 361)"
truck,0.38,"(463, 177, 567, 238)"
car,0.8,"(303, 362, 373, 400)"
car,0.62,"(716, 395, 820, 448)"
car,0.6,"(554, 283, 633, 321)"
car,0.59,"(96, 169, 153, 194)"
car,0.55,"(423, 321, 488, 358)"
car,0.38,"(350, 190, 408, 226)"
